year,month,value
1850,1,-0.387828431373
1850,2,0.0331715686275
1850,3,-0.417828431373
1850,4,-0.254828431373
1850,5,-0.0118284313725
1850,6,0.102171568627
1850,7,0.186171568627
1850,8,0.0821715686275
1850,9,-0.120828431373
1850,10,-0.137828431373
1850,11,0.125171568627
1850,12,0.0471715686275
1851,1,0.0151715686275
1851,2,-0.0438284313725
1851,3,-0.167828431373
1851,4,-0.129828431373
1851,5,0.0141715686275
1851,6,0.126171568627
1851,7,0.101171568627
1851,8,0.162171568627
1851,9,0.209171568627
1851,10,0.254171568627
1851,11,0.287171568627
1851,12,0.250171568627
1852,1,0.00717156862745
1852,2,-0.161828431373
1852,3,-0.190828431373
1852,4,-0.243828431373
1852,5,0.107171568627
1852,6,0.277171568627
1852,7,0.299171568627
1852,8,0.120171568627
1852,9,0.190171568627
1852,10,0.0981715686275
1852,11,0.128171568627
1852,12,0.399171568627
1853,1,0.140171568627
1853,2,-0.0118284313725
1853,3,0.00117156862745
1853,4,-0.0378284313725
1853,5,0.0471715686275
1853,6,0.138171568627
1853,7,0.257171568627
1853,8,0.168171568627
1853,9,-0.0908284313725
1853,10,-0.0458284313725
1853,11,0.0571715686275
1853,12,-0.129828431373
1854,1,-0.0588284313725
1854,2,0.0261715686275
1854,3,0.0231715686275
1854,4,-0.0338284313725
1854,5,0.0811715686275
1854,6,0.0981715686275
1854,7,0.0831715686275
1854,8,0.145171568627
1854,9,0.193171568627
1854,10,0.123171568627
1854,11,-0.0578284313725
1854,12,0.0791715686275
1855,1,0.138171568627
1855,2,-0.0858284313725
1855,3,0.0111715686275
1855,4,0.0931715686275
1855,5,-0.0228284313725
1855,6,0.151171568627
1855,7,0.0451715686275
1855,8,0.152171568627
1855,9,-0.0288284313725
1855,10,0.103171568627
1855,11,0.0971715686275
1855,12,-0.198828431373
1856,1,0.207171568627
1856,2,-0.0548284313725
1856,3,-0.193828431373
1856,4,-0.0638284313725
1856,5,0.195171568627
1856,6,0.0251715686275
1856,7,0.0161715686275
1856,8,0.00917156862745
1856,9,-0.142828431373
1856,10,-0.0778284313725
1856,11,-0.293828431373
1856,12,-0.130828431373
1857,1,-0.191828431373
1857,2,-0.0458284313725
1857,3,-0.115828431373
1857,4,-0.321828431373
1857,5,-0.250828431373
1857,6,0.00317156862745
1857,7,-0.223828431373
1857,8,-0.0118284313725
1857,9,-0.0798284313725
1857,10,-0.149828431373
1857,11,-0.351828431373
1857,12,-0.0528284313725
1858,1,-0.216828431373
1858,2,-0.394828431373
1858,3,-0.238828431373
1858,4,-0.201828431373
1858,5,-0.340828431373
1858,6,-0.264828431373
1858,7,-0.00882843137255
1858,8,0.0331715686275
1858,9,-0.0248284313725
1858,10,0.110171568627
1858,11,-0.330828431373
1858,12,0.0101715686275
1859,1,0.00317156862745
1859,2,0.119171568627
1859,3,-0.0218284313725
1859,4,0.114171568627
1859,5,0.00217156862745
1859,6,0.0651715686275
1859,7,0.0311715686275
1859,8,0.215171568627
1859,9,-0.259828431373
1859,10,0.0581715686275
1859,11,-0.00982843137255
1859,12,-0.0438284313725
1860,1,0.119171568627
1860,2,-0.116828431373
1860,3,-0.334828431373
1860,4,-0.0308284313725
1860,5,0.0141715686275
1860,6,0.00617156862745
1860,7,0.199171568627
1860,8,0.121171568627
1860,9,0.0901715686275
1860,10,0.117171568627
1860,11,-0.193828431373
1860,12,-0.438828431373
1861,1,-0.585828431373
1861,2,-0.211828431373
1861,3,-0.153828431373
1861,4,-0.0858284313725
1861,5,-0.453828431373
1861,6,0.127171568627
1861,7,0.102171568627
1861,8,0.215171568627
1861,9,-0.0208284313725
1861,10,-0.0428284313725
1861,11,-0.111828431373
1861,12,0.0461715686275
1862,1,-0.438828431373
1862,2,-0.470828431373
1862,3,-0.0898284313725
1862,4,0.0671715686275
1862,5,0.0811715686275
1862,6,-0.0268284313725
1862,7,-0.0258284313725
1862,8,-0.384828431373
1862,9,-0.103828431373
